timestamp,temp,pressure,vibration,label
2026-08-15 21:56:00,50.1,1.06,0.02,normal
2026-08-15 21:57:00,50.3,1.04,0.02,normal
2026-08-15 21:58:00,50.4,1.03,0.01,normal
2026-08-15 21:59:00,50.7,1.01,0.02,normal
2026-08-15 22:00:00,51.9,1.0,0.03,normal
2026-08-15 22:01:00,50.3,1.0,0.03,normal
2026-08-15 22:02:00,49.7,0.99,0.03,normal
2026-08-15 22:03:00,51.4,0.99,0.03,normal
2026-08-15 22:04:00,51.4,0.99,0.11,abnormal
2026-08-15 22:05:00,50.0,1.0,0.04,normal
2026-08-15 22:06:00,49.7,0.99,0.03,normal
2026-08-15 22:07:00,50.3,1.0,0.02,normal
2026-08-15 22:08:00,49.4,0.99,0.02,normal
2026-08-15 22:09:00,50.1,0.99,0.02,normal
2026-08-15 22:10:00,50.4,1.0,0.01,normal
2026-08-15 22:11:00,49.8,1.02,0.02,normal
2026-08-15 22:12:00,50.1,1.04,0.03,normal
2026-08-15 22:13:00,51.6,1.04,0.04,normal
2026-08-15 22:14:00,51.6,0.65,0.04,abnormal
2026-08-15 22:15:00,51.7,0.65,0.05,abnormal
2026-08-15 22:16:00,50.0,0.63,0.04,abnormal
2026-08-15 22:17:00,50.9,0.64,0.04,abnormal
2026-08-15 22:18:00,49.5,0.65,0.05,abnormal
2026-08-15 22:19:00,48.9,1.0,0.04,normal
2026-08-15 22:20:00,50.9,1.0,0.04,normal
2026-08-15 22:21:00,50.8,1.0,0.03,normal
2026-08-15 22:22:00,49.0,1.0,0.04,normal
2026-08-15 22:23:00,47.0,1.0,0.05,normal
2026-08-15 22:24:00,45.7,0.99,0.04,normal
2026-08-15 22:25:00,45.2,1.01,0.03,normal
2026-08-15 22:26:00,21.7,1.36,0.13,abnormal
2026-08-15 22:27:00,20.0,1.34,0.12,abnormal
2026-08-15 22:28:00,21.8,1.34,0.12,abnormal
2026-08-15 22:29:00,45.0,1.05,0.04,normal
2026-08-15 22:30:00,43.2,1.03,0.05,normal
2026-08-15 22:31:00,45.0,1.03,0.04,normal
2026-08-15 22:32:00,45.0,1.39,0.18,abnormal
2026-08-15 22:33:00,44.6,1.05,0.04,normal
2026-08-15 22:34:00,65.5,1.29,0.14,abnormal
2026-08-15 22:35:00,64.0,1.29,0.13,abnormal
2026-08-15 22:36:00,62.2,1.28,0.12,abnormal
2026-08-15 22:37:00,62.9,1.29,0.12,abnormal
2026-08-15 22:38:00,62.2,1.29,0.11,abnormal
2026-08-15 22:39:00,64.1,1.27,0.12,abnormal
2026-08-15 22:40:00,50.0,1.05,0.04,normal
2026-08-15 22:41:00,21.9,0.55,0.17,abnormal
2026-08-15 22:42:00,45.0,1.0,0.04,normal
