timestamp,temp,pressure,vibration,label
2026-08-16 18:31:00,51.0,0.98,0.03,normal
2026-08-16 18:32:00,51.9,0.99,0.03,normal
2026-08-16 18:33:00,50.0,0.99,0.03,normal
2026-08-16 18:34:00,50.5,1.01,0.03,normal
2026-08-16 18:35:00,51.4,0.99,0.03,normal
2026-08-16 18:36:00,49.7,0.99,0.04,normal
2026-08-16 18:37:00,48.9,1.0,0.05,normal
2026-08-16 18:38:00,47.0,0.99,0.05,normal
2026-08-16 18:39:00,48.1,1.0,0.04,normal
2026-08-16 18:40:00,47.1,0.99,0.05,normal
2026-08-16 18:41:00,48.2,1.0,0.04,normal
2026-08-16 18:42:00,47.9,1.01,0.04,normal
2026-08-16 18:43:00,47.6,1.03,0.04,normal
2026-08-16 18:44:00,46.9,1.04,0.04,normal
2026-08-16 18:45:00,45.0,1.06,0.03,normal
2026-08-16 18:46:00,45.5,1.06,0.03,normal
2026-08-16 18:47:00,45.6,1.04,0.02,normal
2026-08-16 18:48:00,44.0,1.04,0.02,normal
2026-08-16 18:49:00,45.0,1.03,0.03,normal
2026-08-16 18:50:00,43.3,1.02,0.04,normal
2026-08-16 18:51:00,43.8,1.0,0.04,normal
2026-08-16 18:52:00,43.8,1.02,0.04,normal
2026-08-16 18:53:00,45.0,1.02,0.04,normal
2026-08-16 18:54:00,45.3,1.0,0.04,normal
2026-08-16 18:55:00,46.9,0.99,0.03,normal
2026-08-16 18:56:00,45.6,1.0,0.03,normal
2026-08-16 18:57:00,45.1,1.0,0.04,normal
2026-08-16 18:58:00,44.7,1.02,0.04,normal
2026-08-16 18:59:00,44.2,1.0,0.04,normal
2026-08-16 19:00:00,43.4,1.02,0.04,normal
2026-08-16 19:01:00,43.4,0.74,0.04,abnormal
2026-08-16 19:02:00,43.9,1.0,0.03,normal
2026-08-16 19:03:00,44.2,0.98,0.02,normal
2026-08-16 19:04:00,44.1,1.0,0.03,normal
2026-08-16 19:05:00,45.0,0.98,0.04,normal
2026-08-16 19:06:00,44.5,1.0,0.05,normal
2026-08-16 19:07:00,44.8,1.01,0.04,normal
2026-08-16 19:08:00,45.9,1.0,0.04,normal
2026-08-16 19:09:00,45.3,1.0,0.05,normal
2026-08-16 19:10:00,46.8,1.02,0.04,normal
2026-08-16 19:11:00,45.2,1.0,0.05,normal
2026-08-16 19:12:00,44.6,1.01,0.04,normal
2026-08-16 19:13:00,44.6,1.03,0.05,normal
2026-08-16 19:14:00,45.7,1.03,0.04,normal
2026-08-16 19:15:00,46.6,1.03,0.03,normal
2026-08-16 19:16:00,45.1,1.01,0.04,normal
2026-08-16 19:17:00,43.2,1.0,0.05,normal
2026-08-16 19:18:00,45.0,0.99,0.04,normal
2026-08-16 19:19:00,44.2,1.0,0.04,normal
2026-08-16 19:20:00,44.8,0.99,0.03,normal
2026-08-16 19:21:00,43.1,1.0,0.03,normal
2026-08-16 19:22:00,45.0,1.0,0.02,normal
2026-08-16 19:23:00,45.9,1.0,0.03,normal
2026-08-16 19:24:00,47.5,1.0,0.03,normal
2026-08-16 19:25:00,46.9,0.99,0.04,normal
2026-08-16 19:26:00,46.3,1.0,0.04,normal
2026-08-16 19:27:00,46.3,1.0,0.04,normal
2026-08-16 19:28:00,45.4,1.0,0.05,normal
2026-08-16 19:29:00,47.4,1.0,0.05,normal
2026-08-16 19:30:00,48.3,1.01,0.04,normal
2026-08-16 19:31:00,48.7,1.01,0.04,normal
2026-08-16 19:32:00,47.3,1.01,0.05,normal
2026-08-16 19:33:00,46.4,1.03,0.04,normal
2026-08-16 19:34:00,44.5,1.04,0.03,normal
2026-08-16 19:35:00,44.6,1.04,0.04,normal
2026-08-16 19:36:00,45.8,1.05,0.03,normal
2026-08-16 19:37:00,46.6,1.04,0.02,normal
2026-08-16 19:38:00,46.1,1.03,0.03,normal
2026-08-16 19:39:00,45.7,1.05,0.04,normal
2026-08-16 19:40:00,44.9,1.04,0.04,normal
2026-08-16 19:41:00,44.1,1.05,0.03,normal
2026-08-16 19:42:00,46.0,1.06,0.03,normal
2026-08-16 19:43:00,45.4,1.05,0.04,normal
2026-08-16 19:44:00,44.5,1.07,0.04,normal
2026-08-16 19:45:00,45.7,1.06,0.04,normal
2026-08-16 19:46:00,44.8,1.06,0.05,normal
2026-08-16 19:47:00,46.3,1.05,0.04,normal
2026-08-16 19:48:00,45.5,1.04,0.03,normal
2026-08-16 19:49:00,43.5,1.04,0.03,normal
2026-08-16 19:50:00,43.0,1.03,0.03,normal
2026-08-16 19:51:00,45.0,1.04,0.04,normal
2026-08-16 19:52:00,45.8,1.04,0.05,normal
2026-08-16 19:53:00,45.7,1.04,0.05,normal
2026-08-16 19:54:00,44.7,1.05,0.04,normal
2026-08-16 19:55:00,43.1,1.06,0.03,normal
2026-08-16 19:56:00,43.2,1.07,0.03,normal
2026-08-16 19:57:00,45.0,1.05,0.03,normal
2026-08-16 19:58:00,45.8,1.03,0.02,normal
2026-08-16 19:59:00,46.1,1.01,0.02,normal
2026-08-16 20:00:00,46.7,1.02,0.02,normal
2026-08-16 20:01:00,48.2,1.01,0.02,normal
2026-08-16 20:02:00,48.1,1.01,0.02,normal
2026-08-16 20:03:00,47.0,1.03,0.01,normal
2026-08-16 20:04:00,48.7,1.03,0.02,normal
2026-08-16 20:05:00,58.1,1.34,0.19,abnormal
2026-08-16 20:06:00,57.6,1.33,0.2,abnormal
2026-08-16 20:07:00,50.0,1.05,0.04,normal
2026-08-16 20:08:00,51.8,1.07,0.05,normal
2026-08-16 20:09:00,51.8,1.05,0.04,normal
2026-08-16 20:10:00,51.9,1.07,0.04,normal
2026-08-16 20:11:00,20.1,0.74,0.1,abnormal
2026-08-16 20:12:00,45.0,1.0,0.04,normal
2026-08-16 20:13:00,46.1,0.98,0.05,normal
2026-08-16 20:14:00,44.3,1.0,0.04,normal
2026-08-16 20:15:00,44.0,1.01,0.04,normal
2026-08-16 20:16:00,46.0,1.01,0.05,normal
2026-08-16 20:17:00,47.6,1.01,0.04,normal
2026-08-16 20:18:00,48.0,0.99,0.05,normal
2026-08-16 20:19:00,46.1,0.99,0.04,normal
2026-08-16 20:20:00,47.7,1.0,0.04,normal
2026-08-16 20:21:00,66.2,0.58,0.04,abnormal
2026-08-16 20:22:00,50.0,1.0,0.05,normal
